Date,TeamA,TeamB,Group,GoalsA,GoalsB,matchURL
2026/6/11,Mexico,South Africa,A,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/1
2026/6/11,South Korea,Czech Republic,A,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/2
2026/6/12,Australia,Turkey,D,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/6
2026/6/12,Qatar,Switzerland,B,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/5
2026/6/12,Canada,Bosnia and Herzegovina,B,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/3
2026/6/12,United States,Paraguay,D,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/4
2026/6/13,Brazil,Morocco,C,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/7
2026/6/13,Haiti,Scotland,C,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/8
2026/6/14,Sweden,Tunisia,F,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/12
2026/6/14,Netherlands,Japan,F,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/11
2026/6/14,Ivory Coast,Ecuador,E,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/9
2026/6/14,Germany,Curaçao,E,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/10
2026/6/15,Saudi Arabia,Uruguay,H,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/13
2026/6/15,Iran,New Zealand,G,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/15
2026/6/15,Spain,Cape Verde,H,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/14
2026/6/15,Belgium,Egypt,G,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/16
2026/6/16,France,Senegal,I,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/17
2026/6/16,Iraq,Norway,I,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/18
2026/6/16,Austria,Jordan,J,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/19
2026/6/16,Argentina,Algeria,J,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/20
2026/6/17,Portugal,DR Congo,K,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/23
2026/6/17,Uzbekistan,Colombia,K,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/24
2026/6/17,England,Croatia,L,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/22
2026/6/17,Ghana,Panama,L,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/21
2026/6/18,Switzerland,Bosnia and Herzegovina,B,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/28
2026/6/18,Mexico,South Korea,A,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/25
2026/6/18,Czech Republic,South Africa,A,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/26
2026/6/18,Canada,Qatar,B,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/27
2026/6/19,United States,Australia,D,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/31
2026/6/19,Brazil,Haiti,C,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/29
2026/6/19,Turkey,Paraguay,D,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/32
2026/6/19,Scotland,Morocco,C,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/30
2026/6/20,Ecuador,Curaçao,E,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/34
2026/6/20,Germany,Ivory Coast,E,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/33
2026/6/20,Netherlands,Sweden,F,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/35
2026/6/20,Tunisia,Japan,F,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/36
2026/6/21,Belgium,Iran,G,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/39
2026/6/21,New Zealand,Egypt,G,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/40
2026/6/21,Spain,Saudi Arabia,H,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/37
2026/6/21,Uruguay,Cape Verde,H,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/38
2026/6/22,Norway,Senegal,I,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/42
2026/6/22,France,Iraq,I,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/41
2026/6/22,Argentina,Austria,J,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/43
2026/6/22,Jordan,Algeria,J,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/44
2026/6/23,Colombia,DR Congo,K,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/48
2026/6/23,Panama,Croatia,L,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/46
2026/6/23,England,Ghana,L,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/45
2026/6/23,Portugal,Uzbekistan,K,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/47
2026/6/24,Switzerland,Canada,B,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/52
2026/6/24,Scotland,Brazil,C,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/0
2026/6/24,Bosnia and Herzegovina,Qatar,B,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/51
2026/6/24,Morocco,Haiti,C,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/0
2026/6/24,South Africa,South Korea,A,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/49
2026/6/24,Czech Republic,Mexico,A,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/50
2026/6/25,Japan,Sweden,F,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/0
2026/6/25,Tunisia,Netherlands,F,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/0
2026/6/25,Turkey,United States,D,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/56
2026/6/25,Paraguay,Australia,D,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/55
2026/6/25,Ecuador,Germany,E,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/57
2026/6/25,Curaçao,Ivory Coast,E,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/58
2026/6/26,Senegal,Iraq,I,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/61
2026/6/26,Norway,France,I,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/62
2026/6/26,Egypt,Iran,G,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/65
2026/6/26,Uruguay,Spain,H,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/67
2026/6/26,Cape Verde,Saudi Arabia,H,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/68
2026/6/26,New Zealand,Belgium,G,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/66
2026/6/27,Panama,England,L,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/71
2026/6/27,Colombia,Portugal,K,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/0
2026/6/27,DR Congo,Uzbekistan,K,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/0
2026/6/27,Algeria,Austria,J,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/63
2026/6/27,Jordan,Argentina,J,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/64
2026/6/27,Croatia,Ghana,L,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/match-center/72
